date,team,opponent,start_time,status
2025-08-05,Pittsburgh Pirates,San Francisco Giants,8:40 AM,Scheduled
2025-08-05,Detroit Tigers,Minnesota Twins,8:40 AM,Scheduled
2025-08-05,Miami Marlins,Houston Astros,8:40 AM,Scheduled
2025-08-05,Washington Nationals,Oakland Athletics,8:45 AM,Scheduled
2025-08-05,Philadelphia Phillies,Baltimore Orioles,8:45 AM,Scheduled
2025-08-05,Boston Red Sox,Kansas City Royals,9:10 AM,Scheduled
2025-08-05,New York Mets,Cleveland Guardians,9:10 AM,Scheduled
2025-08-05,Atlanta Braves,Milwaukee Brewers,9:15 AM,Scheduled
2025-08-05,Chicago Cubs,Cincinnati Reds,10:05 AM,Scheduled
2025-08-05,Texas Rangers,New York Yankees,10:05 AM,Scheduled
2025-08-05,Colorado Rockies,Toronto Blue Jays,10:40 AM,Scheduled
2025-08-05,Los Angeles Angels,Tampa Bay Rays,11:38 AM,Scheduled
2025-08-05,Arizona Diamondbacks,San Diego Padres,11:40 AM,Scheduled
2025-08-05,Seattle Mariners,Chicago White Sox,11:40 AM,Scheduled
2025-08-05,Los Angeles Dodgers,St. Louis Cardinals,12:10 PM,Scheduled
